---------------------------------------------------------------------------------------------------------
Song name : WE'RE HERE TO RULE!
Composer  : ***(C) 1991 ANMA***
Last Row  : 09-63
Repeat    : Yes (from row: 00-00)
Speed     : 3
FM mode   : With drums (max 6 FM channels)
Drum pitch settings  : 68,60,24 (Base, Snare, Tom)
Init with Volume     : 0 (all channels)
Init with Instrument : 0 (all FM/OPLL channels)
---------------------------------------------------------------------------------------------------------
       P1       P2       P3       F1       F2       F3       F4       F5       F6       DR     IN        
---------------------------------------------------------------------------------------------------------
03-10  A 3C205  -----00  C 5B44E  A 3FF04  -----00  -----00  -----00  A 4F704  C 5F004  ---FD  00--------
03-11  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
03-12  C 4E44C  -----00  D 5B44E  A 2FF04  -----00  -----00  -----00  E 5F704  D 5F004  -FF-D  00--------
03-13  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
03-14  A 3C205  -----00  -----00  A 3FF04  -----00  -----00  -----00  E 5F704  -----00  ----D  00--------
03-15  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
03-16  F 2C205  F 46A2D  E 5B44E  F 2FF04  F 5F104  A 5F104  C 6F104  F 4F704  E 5F004  F---D  00--------
03-17  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
03-18  F 3C205  -----00  -----00  F 3FF04  -----00  -----00  -----00  C 5F704  -----00  ---FD  00--------
03-19  -----00  -----00  -----00  -----00  -----00  -----00  -----00  A 4F704  -----00  -----  00--------
03-20  C 4E44C  -----00  A 5B44E  F 2FF04  -----00  -----00  -----00  C 5F704  A 5F004  -FF-D  00--------
03-21  -----00  -----00  G 5B44E  -----00  -----00  -----00  -----00  F 4F704  G 5F004  -----  00--------
03-22  F 3C205  -----00  D 5B44E  F 3FF04  -----00  -----00  -----00  A 4F704  D 5F004  ----D  00--------
03-23  -----00  -----00  -----00  -----00  -----00  -----00  -----00  C 5F704  -----00  -----  00--------
